"","id","mentor","education","gpa","gpa_3"
"248",91575916,1,15,2.42,0
"249",91575930,1,15,2.05,0
"250",91575931,0,18,3.15,1
"251",91575948,1,15,3.76,1
"252",91575956,1,20,2.96,0
"253",91576129,1,15,2.23,0
"254",91576138,0,15,2.96,0
"255",91576154,1,13,2.83,0
"256",91576363,0,13.5,2.93,0
"257",91576537,0,13,2.02,0
"258",91576561,0,17,2.65,0
"259",91576651,1,18,2.46,0
"260",91576910,1,15,3.2,1
"261",91577183,1,20,2.73,0
"262",91577221,1,18,3.16,1
"263",91577311,0,15,3.96,1
"264",91577313,1,17,3.96,1
"265",91577319,0,13,1.25,0
"266",91577414,1,17,2.8,0
"267",91578089,1,17,2.32,0
"268",91578193,0,13,2.4,0
"269",91578315,1,15,2,0
"270",91578510,0,13.5,1.92,0
"271",91578526,1,17,2.08,0
"272",91578740,1,14,2.61,0
"273",91578747,0,13,2.23,0
"274",91578892,0,13,2.49,0
"275",91578999,0,15,2.42,0
"276",91579243,1,15,1.54,0
"277",91579246,0,15,1.25,0
"278",91579296,1,15,3.22,1
"279",91579339,1,15,2.52,0
"280",91579967,0,14,2.84,0
"281",91579987,1,17,3.66,1
"282",91579993,0,15,3.61,1
"283",91579997,0,13,3.19,1
"284",91608476,1,15,2.85,0
"285",91614978,0,15,2.64,0
"286",91619063,0,19,2.91,0
"287",91619665,0,20,3.24,1
"288",91619862,1,17,2.38,0
"289",91646122,1,20,2.4,0
"290",91676253,1,17,3.35,1
"291",91676522,0,15,2.08,0
"292",91678572,0,17,3,1
"293",91710214,0,15,2.4,0
"294",91710287,0,13,1.36,0
"295",91710293,0,14,2.49,0
"296",91710339,0,15,2.23,0
"297",91710655,0,15,1.81,0
"298",91710996,0,15,3.06,1
"299",91711065,0,13,1.67,0
"300",91712217,0,14,2.98,0
"301",91712314,1,11,1.68,0
"302",91712372,0,13,2.5,0
"303",91712909,0,15,2.09,0
"304",91712918,1,13,2.65,0
"305",91713006,1,15,2.53,0
"306",91713298,0,13,1.87,0
"307",91713997,0,13,1.47,0
"308",91713998,0,15,3.44,1
"309",91714043,0,15,2.56,0
"310",91714099,0,15,1.96,0
"311",91714212,0,13,1.06,0
"312",91714928,0,11,0.93,0
"313",91714938,0,11,0.5,0
"314",91715124,1,17,2.11,0
"315",91715286,1,15,3.22,1
"316",91715892,1,19,3.54,1
"317",91715921,0,13,0.96,0
"318",91715952,0,13,2.84,0
"319",91715984,1,15,2.75,0
"320",91715991,1,17,3.59,1
"321",91716018,1,19,3.85,1
"322",91716096,1,17,3.61,1
"323",91716288,1,15,2.27,0
"324",91716321,1,15,2.77,0
"325",91716484,0,13,2,0
"326",91716903,1,15,2.2,0
"327",91717067,0,13.5,2.07,0
"328",91717862,0,13,2.73,0
"329",91717910,0,15,3.2,1
"330",91718077,1,15,3.7,1
"331",91718081,1,15,2.76,0
"332",91718142,1,17,3.75,1
"333",91718294,1,13,2.57,0
"334",91718844,1,17,3.29,1
"335",91718949,0,17,3.06,1
"336",91719273,0,13.5,3,1
"337",91719375,0,11,0.8,0
"338",91719930,0,15,3.45,1
"339",91719932,1,17,3.58,1
"340",92316359,0,15,3.25,1
"341",92374975,1,20,4,1
"342",92374978,1,17,1.81,0
"343",92374979,0,15,1.87,0
"344",92500184,1,18,1.96,0
"345",92500219,1,15,1.93,0
"346",92500618,0,15,2.3,0
"347",92503208,0,15,2.3,0
"348",92504085,1,17,3.22,1
"349",92504100,1,15,3.19,1
"350",92506022,0,15,2.94,0
"351",92506995,0,15,2.27,0
"352",92507858,0,13.5,2.33,0
"353",92508726,1,19,3.25,1
"354",92540117,0,13,2.57,0
"355",92570236,0,15,1.97,0
"356",92570284,0,15,2.63,0
"357",92570698,0,13,3.08,1
"358",92571052,0,17,2.36,0
"359",92571208,1,18,2.78,0
"360",92571801,0,15,2.3,0
"361",92572101,0,15,2.8,0
"362",92572104,0,17,2.83,0
"363",92572108,1,17,3.56,1
"364",92572119,1,19,3.65,1
"365",92572162,0,14,2.47,0
"366",92572267,0,13,1.64,0
"367",92572321,0,11,2.69,0
"368",92572323,0,13,0.9,0
"369",92572345,0,15,2.73,0
"370",92572382,0,13.5,1.61,0
"371",92572444,0,18,3.02,1
"372",92572802,1,17,3.86,1
"373",92572918,0,15,2.1,0
"374",92572963,1,15,3.62,1
"375",92573010,1,18,4,1
"376",92573311,0,14,2.37,0
"377",92573316,1,17,3.59,1
"378",92573818,1,17,2.61,0
"379",92573916,1,17,2.85,0
"380",92573917,1,18,3,1
"381",92573943,0,13,2.9,0
"382",92573958,0,15,3.29,1
"383",92574018,1,11,0.38,0
"384",92575023,0,13,1.9,0
"385",92575249,1,13,3.58,1
"386",92575297,0,17,3.25,1
"387",92575324,1,13,1.4,0
"388",92575421,1,14,3.59,1
"389",92575526,0,13.5,1.75,0
"390",92575807,1,17,2.88,0
"391",92575868,0,17,2.95,0
"392",92575941,1,20,3.88,1
"393",92575959,0,14,1.67,0
"394",92575971,1,17,2.89,0
"395",92576248,1,15,3.08,1
"396",92576531,1,18,3.13,1
"397",92576533,1,17,3.88,1
"398",92576611,1,18,3.05,1
"399",92576693,1,22,2.84,0
"400",92576694,1,17,3.58,1
"401",92576937,1,22,3.86,1
"402",92577127,1,19,3.42,1
"403",92577217,1,17,3.94,1
"404",92577368,1,18,3.94,1
"405",92577514,1,14,2.65,0
"406",92578034,0,15,1.42,0
"407",92578580,0,11,0.96,0
"408",92578722,1,17,1.62,0
"409",92578935,1,15,2.35,0
"410",92579175,1,15,2.5,0
"411",92579238,0,15,1.88,0
"412",92579297,0,15,2.31,0
"413",92579376,0,13,1.71,0
"414",92579943,0,13,2.5,0
"415",92579960,0,13,1.98,0
"416",92579963,0,14,3.17,1
"417",92579968,0,15,0.92,0
"418",92579994,1,15,3.46,1
"419",92579998,1,20,4,1
"420",92608078,1,17,3.23,1
"421",92624977,0,15,1.69,0
"422",92676153,0,13,2.23,0
"423",92676356,0,20,2.98,0
"424",92678179,0,15,2.54,0
"425",92710199,0,13,1.46,0
"426",92710398,1,15,2.45,0
"427",92712391,0,17,3.14,1
"428",92712996,1,15,2.91,0
"429",92712998,1,15,2.38,0
"430",92713198,0,17,3.42,1
"431",92713391,1,15,3.94,1
"432",92714932,0,15,1.79,0
"433",92715357,0,11,1.03,0
"434",92715896,0,17,3.14,1
"435",92715931,0,15,3.42,1
"436",92715984,1,15,3.94,1
"437",92715998,0,13,3.37,1
"438",92716332,0,15,3.11,1
"439",92716333,1,14,2.75,0
"440",92716390,1,14,1.43,0
"441",92716883,1,15,2.61,0
"442",92716901,0,17,3.08,1
"443",92716902,1,17,3.54,1
"444",92717866,0,13,2.77,0
"445",92717912,0,18,3.5,1
"446",92718265,0,14,3.32,1
"447",92718307,1,17,2.88,0
"448",92718344,1,17,3.59,1
"449",92718390,1,15,3.85,1
"450",92718978,1,15,2.5,0
"451",92719971,1,15,2.61,0
"452",92719975,0,15,3.15,1
"453",93316956,0,15,0.76,0
"454",93374973,0,18,3.63,1
"455",93374975,1,17,2.65,0
"456",93374978,1,18,3.23,1
"457",93500514,0,13,2.78,0
"458",93504001,1,19,2.88,0
"459",93504281,0,20,2.76,0
"460",93504605,1,17,3.03,1
"461",93506053,0,14,3.09,1
"462",93506226,1,17,3.96,1
"463",93506290,1,15,1.39,0
"464",93506573,1,17,3.83,1
"465",93507312,1,17,3.43,1
"466",93540315,1,13,2.21,0
"467",93544923,1,11,0.3,0
"468",93546224,0,15,2.26,0
"469",93570194,1,15,3.65,1
"470",93570223,1,15,2.62,0
"471",93570432,1,17,3.73,1
"472",93570581,0,15,1.44,0
"473",93570721,1,19,4,1
"474",93570939,0,19,3.07,1
"475",93571114,1,15,3.51,1
"476",93571153,1,17,3.1,1
"477",93571452,1,18,4,1
"478",93571707,0,15,2.64,0
"479",93571862,1,15,3.37,1
"480",93572076,0,13,2.36,0
"481",93572118,0,13,2.93,0
"482",93572169,0,15,2.78,0
"483",93572200,1,18,3.96,1
"484",93572283,1,17,3.97,1
"485",93572284,0,17,2.38,0
"486",93572322,1,15,2.06,0
"487",93572369,0,15,2.47,0
"488",93572388,1,15,2.78,0
"489",93572448,0,15,2.58,0
"490",93572462,1,17,3.19,1
"491",93572948,0,15,2.1,0
"492",93572975,0,15,2.44,0
"493",93573631,1,19,2.89,0
"494",93574247,1,18,3.84,1
"495",93574300,1,19,3.57,1
"496",93574520,1,13,2.43,0
"497",93574688,0,15,2.04,0
"498",93574917,0,13,0.46,0
"499",93575016,1,17,3.47,1
"500",93575154,0,15,2,0
"501",93575158,0,15,2.83,0
"502",93575336,0,15,2.61,0
"503",93575354,0,13.5,0.96,0
"504",93575400,1,17,3.56,1
"505",93575407,1,20,3.94,1
"506",93575624,0,19,1.86,0
"507",93576206,0,15,2.32,0
"508",93576251,0,15,2.57,0
"509",93576343,0,13,2,0
"510",93576488,0,17,3.2,1
"511",93576924,0,13,1.26,0
"512",93577057,1,17,2.21,0
"513",93577123,1,18,3.3,1
"514",93577321,1,18,2.49,0
"515",93578347,1,18,3,1
"516",93578447,1,15,2.39,0
"517",93578685,1,13.5,1.27,0
"518",93578861,0,15,1.4,0
"519",93579273,1,13,2,0
"520",93579293,0,17,3.39,1
"521",93579945,1,15,2.44,0
"522",93579961,1,14,2.16,0
"523",93579966,0,13,1.59,0
"524",93579994,1,15,2.91,0
"525",93579999,1,17,3.27,1
"526",93606726,1,20,3.6,1
"527",93608178,0,13,2.2,0
"528",93614072,0,13,3.19,1
"529",93614977,0,13.5,2.64,0
"530",93619466,0,19,2.38,0
"531",93676125,1,20,2.85,0
"532",93676754,0,15,2.23,0
"533",93678779,1,15,3.12,1
"534",93710319,0,13,1.98,0
"535",93710356,0,13,1.53,0
"536",93710587,1,17,2.5,0
"537",93711961,0,15,3.18,1
"538",93712210,0,15,1.77,0
"539",93712272,0,14,1,0
"540",93712295,0,15,3.02,1
"541",93712347,0,13.5,2.84,0
"542",93712399,0,17,3.37,1
"543",93713033,0,17,2.36,0
"544",93713409,0,13,1.73,0
"545",93714082,1,14,2.44,0
"546",93714126,1,15,1.51,0
"547",93714236,0,15,2.42,0
"548",93714387,0,17,2.78,0
"549",93715257,1,13,3.66,1
"550",93715362,1,15,3.02,1
"551",93716058,1,17,1.86,0
"552",93716159,1,17,2.94,0
"553",93716196,0,14,2.72,0
"554",93716333,0,15,2.24,0
"555",93716915,1,19,3.81,1
"556",93716921,0,17,3.78,1
"557",93716970,0,15,3.69,1
"558",93717868,0,14,2.28,0
"559",93718017,0,11,0.5,0
"560",93718046,1,19,2.7,0
"561",93718280,1,15,1.62,0
"562",93718326,1,14,2.42,0
"563",93718944,1,15,2.97,0
"564",93719972,1,15,3.8,1
"565",94500172,1,18,3.29,1
"566",94500284,1,14,1.82,0
"567",94504188,0,15,2.02,0
"568",94504325,1,22,3.98,1
"569",94504728,1,14,1.72,0
"570",94504991,0,11,1.39,0
"571",94504994,0,15,0.3,0
"572",94506051,1,17,2.85,0
"573",94506271,0,13.5,1.58,0
"574",94506340,0,13,1.37,0
"575",94506933,1,19,3.79,1
"576",94508068,0,20,1.93,0
"577",94508567,1,13,2.58,0
"578",94508679,1,17,3.98,1
"579",94508733,1,15,3.51,1
"580",94544304,0,13,2.08,0
"581",94570029,0,15,3.23,1
"582",94570097,0,13,1.77,0
"583",94570151,0,13.5,1.55,0
"584",94571074,0,15,2.29,0
"585",94571176,1,15,3.17,1
"586",94571468,0,17,3.53,1
"587",94571818,1,17,3.56,1
"588",94571971,0,11,1.53,0
"589",94572046,0,11,1.33,0
"590",94572160,0,13,1.9,0
"591",94572194,1,15,3.07,1
"592",94572227,0,13,1.56,0
"593",94572263,1,15,2.38,0
"594",94572326,1,15,2.43,0
"595",94572343,0,15,1.56,0
"596",94572396,0,13.5,2.52,0
"597",94572567,1,17,2.92,0
"598",94572661,1,20,3.45,1
"599",94572667,1,19,3.98,1
"600",94572878,0,14,2.69,0
