"","id","mentee_age","education","gpa","gpa_3"
"101",91574504,19,17,3.28,1
"102",91575065,18,17,3.55,1
"103",91575077,20,17,3.25,1
"104",91575083,17,13,1.91,0
"105",91575235,20,17,3.06,1
"106",91575280,15,14,2.18,0
"107",91575358,18,15,2.88,0
"108",91575432,12,19,3.08,1
"109",91575522,14,15,3.42,1
"110",91575916,13,15,2.42,0
"111",91575930,14,15,2.05,0
"112",91575948,16,15,3.76,1
"113",91575956,19,20,2.96,0
"114",91576129,21,15,2.23,0
"115",91576154,17,13,2.83,0
"116",91576651,20,18,2.46,0
"117",91576910,19,15,3.2,1
"118",91577183,15,20,2.73,0
"119",91577221,14,18,3.16,1
"120",91577313,21,17,3.96,1
"121",91577414,21,17,2.8,0
"122",91578089,15,17,2.32,0
"123",91578315,16,15,2,0
"124",91578526,16,17,2.08,0
"125",91578740,16,14,2.61,0
"126",91579243,17,15,1.54,0
"127",91579296,13,15,3.22,1
"128",91579339,14,15,2.52,0
"129",91579987,16,17,3.66,1
"130",91608476,15,15,2.85,0
"131",91619862,18,17,2.38,0
"132",91646122,15,20,2.4,0
"133",91676253,11,17,3.35,1
"134",91712314,14,11,1.68,0
"135",91712918,14,13,2.65,0
"136",91713006,15,15,2.53,0
"137",91715124,15,17,2.11,0
"138",91715286,15,15,3.22,1
"139",91715892,15,19,3.54,1
"140",91715984,15,15,2.75,0
"141",91715991,14,17,3.59,1
"142",91716018,17,19,3.85,1
"143",91716096,17,17,3.61,1
"144",91716288,15,15,2.27,0
"145",91716321,17,15,2.77,0
"146",91716903,17,15,2.2,0
"147",91718077,19,15,3.7,1
"148",91718081,18,15,2.76,0
"149",91718142,15,17,3.75,1
"150",91718294,14,13,2.57,0
"151",91718844,15,17,3.29,1
"152",91719932,15,17,3.58,1
"153",92374975,14,20,4,1
"154",92374978,16,17,1.81,0
"155",92500184,16,18,1.96,0
"156",92500219,10,15,1.93,0
"157",92504085,15,17,3.22,1
"158",92504100,18,15,3.19,1
"159",92508726,16,19,3.25,1
"160",92571208,16,18,2.78,0
"161",92572108,18,17,3.56,1
"162",92572119,16,19,3.65,1
"163",92572802,16,17,3.86,1
"164",92572963,20,15,3.62,1
"165",92573010,16,18,4,1
"166",92573316,18,17,3.59,1
"167",92573818,19,17,2.61,0
"168",92573916,16,17,2.85,0
"169",92573917,15,18,3,1
"170",92574018,14,11,0.38,0
"171",92575249,13,13,3.58,1
"172",92575324,15,13,1.4,0
"173",92575421,10,14,3.59,1
"174",92575807,19,17,2.88,0
"175",92575941,16,20,3.88,1
"176",92575971,20,17,2.89,0
"177",92576248,15,15,3.08,1
"178",92576531,15,18,3.13,1
"179",92576533,14,17,3.88,1
"180",92576611,22,18,3.05,1
"181",92576693,19,22,2.84,0
"182",92576694,16,17,3.58,1
"183",92576937,24,22,3.86,1
"184",92577127,14,19,3.42,1
"185",92577217,17,17,3.94,1
"186",92577368,17,18,3.94,1
"187",92577514,17,14,2.65,0
"188",92578722,17,17,1.62,0
"189",92578935,21,15,2.35,0
"190",92579175,20,15,2.5,0
"191",92579994,16,15,3.46,1
"192",92579998,15,20,4,1
"193",92608078,18,17,3.23,1
"194",92710398,15,15,2.45,0
"195",92712996,17,15,2.91,0
"196",92712998,16,15,2.38,0
"197",92713391,18,15,3.94,1
"198",92715984,18,15,3.94,1
"199",92716333,16,14,2.75,0
"200",92716390,15,14,1.43,0
"201",92716883,17,15,2.61,0
"202",92716902,15,17,3.54,1
"203",92718307,16,17,2.88,0
"204",92718344,15,17,3.59,1
"205",92718390,12,15,3.85,1
"206",92718978,16,15,2.5,0
"207",92719971,13,15,2.61,0
"208",93374975,14,17,2.65,0
"209",93374978,20,18,3.23,1
"210",93504001,20,19,2.88,0
"211",93504605,14,17,3.03,1
"212",93506226,17,17,3.96,1
"213",93506290,17,15,1.39,0
"214",93506573,20,17,3.83,1
"215",93507312,14,17,3.43,1
"216",93540315,15,13,2.21,0
"217",93544923,15,11,0.3,0
"218",93570194,15,15,3.65,1
"219",93570223,16,15,2.62,0
"220",93570432,19,17,3.73,1
"221",93570721,16,19,4,1
"222",93571114,18,15,3.51,1
"223",93571153,16,17,3.1,1
"224",93571452,23,18,4,1
"225",93571862,21,15,3.37,1
"226",93572200,18,18,3.96,1
"227",93572283,18,17,3.97,1
"228",93572322,16,15,2.06,0
"229",93572388,16,15,2.78,0
"230",93572462,16,17,3.19,1
"231",93573631,16,19,2.89,0
"232",93574247,14,18,3.84,1
"233",93574300,16,19,3.57,1
"234",93574520,18,13,2.43,0
"235",93575016,17,17,3.47,1
"236",93575400,18,17,3.56,1
"237",93575407,13,20,3.94,1
"238",93577057,21,17,2.21,0
"239",93577123,17,18,3.3,1
